"count","upvotes","comments","date"
2076,33093,0,"2011/3"
9878,159876,0,"2011/4"
14803,233962,0,"2011/5"
21133,351373,1,"2011/6"
18131,288468,1,"2011/7"
18200,283493,0,"2011/8"
19409,278733,0,"2011/9"
18799,245003,1,"2011/10"
19479,299766,0,"2011/11"
19593,295927,1,"2011/12"
17473,246429,0,"2012/1"
17421,218979,0,"2012/2"
15809,196264,0,"2012/3"
14835,188391,0,"2012/4"
15004,264749,0,"2012/5"
13394,217033,0,"2012/6"
12198,140838,0,"2012/7"
12173,146293,1,"2012/8"
11797,135989,1,"2012/9"
12228,144578,6,"2012/10"
12287,146114,0,"2012/11"
13065,188850,0,"2012/12"
12400,175413,0,"2013/1"
10238,129235,1,"2013/2"
10356,127619,1,"2013/3"
8876,110984,1,"2013/4"
9343,124306,1474,"2013/5"
7622,106095,1763,"2013/6"
6938,83828,1759,"2013/7"
5995,58438,1695,"2013/8"
6779,64211,1880,"2013/9"
7286,91979,2453,"2013/10"
7614,99285,2051,"2013/11"
7392,95577,2490,"2013/12"
7693,97836,3911,"2014/1"
6923,75130,2786,"2014/2"
7194,84095,2543,"2014/3"
6793,90845,3043,"2014/4"
6470,81141,1964,"2014/5"
6437,83268,2631,"2014/6"
6300,78830,2817,"2014/7"
6047,75594,3085,"2014/8"
6044,86852,2051,"2014/9"
5971,72268,2805,"2014/10"
6280,105724,2899,"2014/11"
6031,77055,2833,"2014/12"
7116,72827,5422,"2015/1"
6570,81657,4218,"2015/2"
6473,73536,2987,"2015/3"
5969,65761,2584,"2015/4"
5527,65366,2431,"2015/5"
4427,50995,1914,"2015/6"
5290,52770,2784,"2015/7"
5239,55186,2863,"2015/8"
5174,59881,3137,"2015/9"
5423,69817,4183,"2015/10"
5919,69478,4229,"2015/11"
5013,67892,3401,"2015/12"
4860,53490,2552,"2016/1"
4174,46357,2575,"2016/2"
4391,48517,3005,"2016/3"
4071,39449,2342,"2016/4"
4045,35032,2102,"2016/5"
3508,37476,1441,"2016/6"
3596,35579,1886,"2016/7"
3609,36701,2245,"2016/8"
3932,40193,2100,"2016/9"
4214,38751,2600,"2016/10"
4000,38139,2619,"2016/11"
3480,34207,2057,"2016/12"
3339,31616,2430,"2017/1"
3735,37318,3750,"2017/2"
3640,29552,3973,"2017/3"
3405,23192,3424,"2017/4"
3616,31172,3267,"2017/5"
2980,26388,2416,"2017/6"
2879,30658,2313,"2017/7"
3278,26025,2106,"2017/8"
2717,21535,2341,"2017/9"
3131,32987,3678,"2017/10"
3141,31766,3788,"2017/11"
3605,39565,3873,"2017/12"
3837,35617,3460,"2018/1"
1231,7513,2311,"2020/4"
2251,15178,5320,"2020/5"
1989,13770,3318,"2020/6"
1784,12310,2918,"2020/7"
1843,13033,2329,"2020/8"
1609,7642,2214,"2020/9"
1848,13533,3784,"2020/10"
1809,14401,2741,"2020/11"
1827,14274,2976,"2020/12"
1673,11405,2484,"2021/1"
1261,10043,1510,"2021/2"
1450,14662,1854,"2021/3"
1645,13922,3147,"2021/4"
1841,17041,3413,"2021/5"
1533,9468,2745,"2021/6"
1442,8776,2058,"2021/7"
1528,10090,1630,"2021/8"
1026,7067,1283,"2021/9"
25,175,15,"2021/10"
1294,6216,1202,"2021/11"
1045,5213,1220,"2021/12"
1551,8404,1449,"2022/1"
1630,7334,1077,"2022/2"
1097,7926,837,"2022/3"
1080,9340,865,"2022/4"
1038,8098,722,"2022/5"
951,6317,704,"2022/6"
717,3287,356,"2022/7"
