count,upvotes,comments,featured,hidden,date
11,1448,0,11,0,2008/5
30,1614,0,30,0,2008/6
31,1643,0,31,0,2008/7
31,2268,0,31,0,2008/8
30,2045,0,30,0,2008/9
31,4142,0,31,0,2008/10
30,1009,0,30,0,2008/11
31,4014,0,31,0,2008/12
31,1551,0,31,0,2009/1
28,3636,0,28,0,2009/2
31,2904,0,31,0,2009/3
30,1507,0,30,0,2009/4
31,950,0,31,0,2009/5
30,2123,0,30,0,2009/6
31,1230,0,31,0,2009/7
31,2162,0,31,0,2009/8
30,1428,0,30,0,2009/9
31,2047,0,31,0,2009/10
30,4001,0,30,0,2009/11
31,2688,0,31,0,2009/12
297,10420,0,36,0,2010/1
2317,34955,0,26,0,2010/2
3601,55787,0,30,3,2010/3
5027,97857,0,29,7,2010/4
6334,117962,0,31,17,2010/5
4797,96968,0,24,134,2010/6
5594,115765,1,28,414,2010/7
4829,87742,0,24,282,2010/8
4488,84032,0,46,301,2010/9
6848,149012,0,58,288,2010/10
8035,189936,0,104,282,2010/11
9421,197967,0,86,130,2010/12
8870,198903,0,104,83,2011/1
7729,170931,0,88,122,2011/2
8905,181978,0,103,151,2011/3
10074,216847,0,73,122,2011/4
15427,324414,0,88,536,2011/5
21950,423950,1,81,736,2011/6
18567,367543,1,118,318,2011/7
18607,334238,0,66,341,2011/8
19936,340953,0,58,469,2011/9
19203,296364,1,51,353,2011/10
19957,373692,0,66,411,2011/11
20028,354596,1,58,377,2011/12
17917,313091,0,64,378,2012/1
17799,287383,0,72,306,2012/2
16097,247239,0,56,230,2012/3
15132,231907,0,69,228,2012/4
15315,318875,0,91,218,2012/5
13719,277814,0,96,229,2012/6
12536,192138,0,88,249,2012/7
12525,182446,1,68,284,2012/8
12276,168416,1,50,429,2012/9
13048,185051,6,55,765,2012/10
12747,186389,0,50,410,2012/11
13609,241622,0,79,465,2012/12
12811,226253,0,79,332,2013/1
10537,178222,1,79,220,2013/2
10700,177108,1,76,268,2013/3
9238,141525,1,49,313,2013/4
9738,167220,1827,70,324,2013/5
7933,131303,2035,55,256,2013/6
7345,109591,1999,61,346,2013/7
6379,74031,1933,28,233,2013/8
7120,90196,2296,49,265,2013/9
7714,124071,3011,65,317,2013/10
7913,140368,2623,93,181,2013/11
7842,128011,3033,86,307,2013/12
7993,121376,4378,60,208,2014/1
7225,106332,3304,71,215,2014/2
7549,117588,3074,81,255,2014/3
7108,117767,3411,75,215,2014/4
6715,102011,2248,56,156,2014/5
6656,105287,3061,56,148,2014/6
6542,106681,3326,62,167,2014/7
6290,108252,3559,72,156,2014/8
6248,111360,2390,60,132,2014/9
6286,104351,3288,85,213,2014/10
6679,135568,3337,90,304,2014/11
6367,99109,3197,72,258,2014/12
7722,99791,6080,91,502,2015/1
7201,106517,4750,83,544,2015/2
6931,86431,3331,51,403,2015/3
6322,74761,2742,28,319,2015/4
5973,96285,2771,60,378,2015/5
4685,62152,2124,40,203,2015/6
5800,70213,3197,74,360,2015/7
5523,70332,3068,54,182,2015/8
5455,75310,3534,42,233,2015/9
5698,88642,4619,58,202,2015/10
6159,83255,4742,40,194,2015/11
5220,86854,3803,63,139,2015/12
5071,68069,2833,41,158,2016/1
4348,53140,2762,22,143,2016/2
4573,58867,3248,36,139,2016/3
4209,45422,2516,21,116,2016/4
4202,46384,2335,43,110,2016/5
3636,46822,1620,37,87,2016/6
3742,42162,2139,30,109,2016/7
3741,49511,2554,52,70,2016/8
4105,59951,2429,79,78,2016/9
4448,47882,2940,41,157,2016/10
4159,46464,2846,38,100,2016/11
3679,42703,2272,35,99,2016/12
3526,39224,2658,28,138,2017/1
3884,44158,3999,27,112,2017/2
3880,36538,4233,33,191,2017/3
3618,29200,3717,30,172,2017/4
3839,41589,3596,44,168,2017/5
3172,34023,2647,36,151,2017/6
3043,36203,2568,24,133,2017/7
3508,31595,2318,30,187,2017/8
2900,26331,2575,25,142,2017/9
3306,40735,4121,46,120,2017/10
3287,38069,4087,37,95,2017/11
3804,46808,4230,42,142,2017/12
4058,42536,3782,41,161,2018/1
3610,41400,3794,42,174,2018/2
3609,33621,3768,30,109,2018/3
2888,26578,2915,29,151,2018/4
3390,24224,4202,32,195,2018/5
2774,28746,3773,33,164,2018/6
2821,25798,3988,34,102,2018/7
2806,23483,2997,22,129,2018/8
3089,26767,4076,30,137,2018/9
2929,33906,4207,42,126,2018/10
2954,30774,2684,30,136,2018/11
2748,61435,2032,29,131,2018/12
2249,31848,1822,22,185,2019/1
1903,29658,1442,38,147,2019/2
2171,19599,1856,41,59,2019/3
2531,20761,2720,31,95,2019/4
2875,22348,3473,35,143,2019/5
2634,17291,3486,27,253,2019/6
2257,12351,3617,33,110,2019/7
1971,11780,1865,30,122,2019/8
2101,12635,1834,29,256,2019/9
2170,12875,2446,32,155,2019/10
1754,9511,2866,23,139,2019/11
1836,8773,2414,11,128,2019/12
1721,13740,2410,32,94,2020/1
1602,12707,2186,41,94,2020/2
1623,12329,2230,48,87,2020/3
1880,13974,2989,49,145,2020/4
2578,18759,5883,46,264,2020/5
2237,14736,3558,0,206,2020/6
2011,13316,3202,0,195,2020/7
2072,15468,2529,30,149,2020/8
1818,8782,2408,8,161,2020/9
2148,15014,4236,9,227,2020/10
2044,17034,3008,25,166,2020/11
2000,16505,3199,27,96,2020/12
1864,12896,2654,14,101,2021/1
1450,12654,1673,21,83,2021/2
1798,17244,2113,20,252,2021/3
2182,16027,3780,11,441,2021/4
2210,19191,3840,14,293,2021/5
1881,10932,3082,11,292,2021/6
1715,10214,2310,15,191,2021/7
1845,13357,1794,10,268,2021/8
1973,11530,2307,26,331,2021/9
2683,11744,2742,14,538,2021/10
1607,7764,1404,8,241,2021/11
1269,6462,1452,8,179,2021/12
1799,9600,1676,12,231,2022/1
1995,9219,1177,16,229,2022/2
1388,9108,920,11,198,2022/3
1470,10817,978,8,318,2022/4
1341,10373,812,7,235,2022/5
1142,7112,738,5,114,2022/6
1500,7991,819,4,144,2022/7
1143,8253,497,7,76,2022/8
985,10197,474,11,107,2022/9
979,6337,318,4,89,2022/10
918,11392,369,9,53,2022/11
1373,17312,1353,1,240,2022/12
1562,12051,1646,12,142,2023/1
1380,8872,1277,8,66,2023/2
171,1849,133,1,4,2023/3
