count,comments,bucket
421138,0.3,0
220667,0.3,10
69732,0.2,20
24100,0.2,30
8943,0.2,40
4307,0.3,50
2254,0.3,60
1329,0.2,70
855,0.5,100
823,0.4,80
549,0.4,110
526,0.2,90
425,0.3,120
375,0.3,130
276,0.3,140
239,0.3,150
194,0.4,160
175,0.5,200
148,0.4,170
140,0.3,210
130,0.4,220
122,0.6,180
121,0.3,230
94,0.2,240
93,0.5,250
71,0.4,310
68,0.2,190
65,0.4,300
63,0.4,320
59,0.9,260
54,0.8,330
44,1,270
44,0.8,350
42,0.4,280
36,1.1,340
36,0.6,410
33,0.3,400
33,0.5,420
32,0.7,360
32,1.2,510
29,0.6,290
29,0.9,500
26,0.7,390
19,0.8,430
18,0.3,370
18,0.3,440
18,1.8,520
15,0.7,380
15,1.7,450
14,0.4,530
14,0.8,550
13,0.5,540
12,1.7,1000
11,0.5,470
11,0.6,630
10,0.2,480
10,0,610
10,0.1,1020
8,0,600
8,0.1,700
8,0,730
7,0,650
6,0,490
6,0,570
6,11.7,640
6,0.3,810
6,1.7,1010
6,0.8,1030
6,0.7,1110
5,0,460
5,0,560
5,1,720
5,0.2,1060
5,0.2,1120
4,0,590
4,0,620
4,0.3,750
4,0.8,780
3,0,580
3,0,680
3,0,830
3,0,860
3,0,1040
3,0,1070
3,0.3,1080
2,0,660
2,0,670
2,0,690
2,2,710
2,0,760
2,0,770
2,0,800
2,0,890
2,1.5,950
2,7.5,1210
2,0.5,1280
2,0,1420
2,0,1510
2,1.5,1550
2,9,3000
1,7,740
1,5,850
1,0,900
1,0,930
1,0,990
1,0,1050
1,0,1130
1,0,1180
1,0,1220
1,0,1260
1,0,1490
1,0,1520
1,4,1560
1,0,1620
1,6,1650
1,0,1660
1,0,1830
1,4,2010
1,3,2020
1,0,2100
1,0,2240
1,0,2600
1,0,2650
1,0,2700
1,17,9850
1,1,10010
1,0,10140
