word,total letters,total occurrences
love,209479,396937
like,203910,365150
know,176082,299749
want,149891,262908
feel,128005,200281
think,128230,181643
one,114410,168177
time,112948,163664
never,100877,146629
make,105430,145445
get,106456,143686
friend,88395,138545
would,87625,135303
even,98023,134041
see,94842,129872
realli,88844,126078
day,85929,124684
thing,87185,119420
say,86168,117363
talk,78579,113533
much,84209,108850
way,75491,107563
look,73840,105816
could,74801,101831
still,74403,100735
tell,70049,94940
back,70942,92997
alway,66043,90934
girl,63267,90867
someon,62435,86430
heart,67847,86170
ever,68116,85582
hope,61606,79605
year,54851,79051
life,59432,77898
said,50627,73556
miss,47972,72915
guy,50819,72637
wish,52879,70515
let,54558,69563
didn,48361,69025
smile,51346,68184
everi,51707,67829
tri,51658,67036
someth,53056,66983
right,54240,65490
happi,48229,63786
first,47804,63549
thought,49619,63174
need,47356,62905
come,51942,62070
eye,47147,61889
mayb,42190,61848
ask,46703,61731
good,49529,60399
peopl,44882,60167
best,45827,58435
everyth,46407,57839
kiss,40785,56939
told,40628,55896
person,42896,55761
night,42327,54302
togeth,43441,54115
stop,42215,52261
give,43188,51960
away,41845,50305
hurt,37496,49894
care,38438,49859
crush,36446,49665
last,40593,49106
boy,35669,49094
around,40683,49006
littl,39143,48180
pleas,36978,47834
start,37367,46942
take,38889,46546
made,37284,46351
got,37241,46283
happen,37787,45782
mean,37186,44800
fall,36981,44559
hate,29112,44184
wait,34971,44103
today,38486,43687
though,36104,43359
well,36974,42714
anyth,36518,42605
long,35702,42008
find,34259,41196
beauti,32013,39895
text,29291,39663
end,32848,39462
hand,30082,39428
keep,33286,38957
rememb,25963,38603
wonder,30956,37355
better,31422,36906
face,30321,36585
noth,30851,36460
laugh,29019,36345
letter,26293,35608
two,29069,35425
sometim,28558,35181
els,30661,34980
mind,30305,34678
walk,26541,34337
month,27080,34197
realiz,28903,34010
call,27332,33954
world,28804,33952
school,25743,33733
work,27841,33688
dream,24760,33471
perfect,26484,33453
word,26867,33244
sorri,22761,33101
felt,25510,32940
hold,27595,32490
help,27047,32273
knew,25016,32185
won,26575,31818
hard,27730,31722
sure,27463,31721
doesn,26599,31660
thank,24470,31632
sinc,26656,31518
fuck,23100,31334
anymor,27213,31172
date,24165,31110
use,25558,31085
cri,23721,30867
bad,26812,30706
enough,25351,30593
dear,29159,30399
actual,26402,30036
next,25313,29595
move,24599,29458
lot,24908,29421
leav,24577,29183
without,25121,29170
believ,23204,29013
seem,24810,28873
live,23716,28627
head,25167,28584
name,22207,28351
saw,22920,28311
moment,22890,27984
guess,24504,27903
kind,22861,27213
chang,22067,27095
anyon,23417,26730
relationship,21057,26652
met,22513,26361
okay,21722,26282
write,20910,26224
week,21568,26117
yet,23193,26015
turn,22224,25684
everyon,21938,25631
anoth,22163,25568
play,20757,25544
put,22161,25052
final,21597,25007
watch,20372,24835
mani,20776,24607
sit,20619,24488
mine,21688,24458
read,20150,24363
differ,20564,24176
left,20382,24035
hug,18323,23929
break,20698,23858
probabl,20534,23703
might,20511,23589
cute,20344,23479
pretti,20388,23442
reason,19786,23203
matter,19612,23155
scare,17838,22954
understand,18720,22356
new,18359,22329
stay,19362,22321
close,19314,22304
dont,15593,22264
went,17817,22260
god,18961,22252
part,18611,22243
chanc,19228,22238
show,19046,22121
wrong,19054,22007
sad,18368,21390
home,17607,21167
wasn,17545,20872
class,15526,20712
hair,17271,20679
amaz,17893,20610
forget,16759,20479
couldn,16959,20270
forev,17941,20149
also,17380,19992
wouldn,17362,19992
stupid,16806,19987
alreadi,18350,19891
almost,17457,19742
isn,17411,19567
nice,16737,19549
hear,17099,19508
alon,16974,19498
may,15959,19460
hour,16737,19389
arm,16623,19361
whole,17571,19349
ago,16664,19193
song,14903,19146
haven,17399,19142
came,15773,18639
yes,14410,18365
found,15937,18261
honest,16511,18205
done,15485,18154
listen,15536,18148
real,15614,18072
complet,16047,17833
girlfriend,15128,17748
second,15657,17609
past,15681,17598
place,15231,17491
notic,14181,17439
sleep,14641,17342
meet,14832,17241
great,15343,17220
convers,15082,17109
pain,13941,16876
boyfriend,13793,16823
abl,14638,16741
fact,14631,16656
awkward,14033,16429
caus,13705,16372
crazi,14046,16159
gave,13640,15863
funni,14366,15842
run,13547,15677
true,13947,15674
old,13328,15656
lie,13148,15516
sweet,14034,15516
afraid,12254,15339
least,14126,15204
idea,13506,15064
man,12260,15032
morn,13077,14852
deserv,11741,14827
yeah,12702,14800
insid,13084,14494
bit,12757,14311
hey,12994,14289
gonna,11627,14215
lost,12214,14146
soon,13115,14138
meant,12427,14023
took,12300,14022
weird,12099,14010
fell,11915,13947
promis,11195,13776
point,12303,13761
stori,11126,13712
singl,12110,13603
broke,11894,13597
stare,11528,13488
gone,11958,13486
three,11462,13428
becom,11926,13363
worth,11538,13358
lose,11463,13298
seen,12042,13285
later,11647,13233
phone,11266,13209
late,12122,13196
spend,11821,13157
facebook,11806,13129
danc,9458,13076
stand,11740,13070
room,11205,13038
messag,10890,13000
joke,11362,12991
open,11322,12981
pictur,10554,12971
sound,11749,12959
side,11128,12940
possibl,11920,12920
movi,10550,12816
far,11599,12753
act,11213,12711
instead,11758,12708
summer,10061,12651
tomorrow,11189,12618
big,11397,12605
voic,10939,12522
wanna,9962,12478
hang,10792,12424
tear,10813,12415
tonight,11045,12415
suppos,10832,12414
decid,11022,12401
anyway,11440,12369
famili,9589,12306
die,10613,12272
touch,10576,12251
breath,10658,12120
minut,10706,12036
worri,10298,12009
high,10345,11970
aren,10936,11925
imagin,10275,11886
trust,9483,11877
damn,10853,11855
interest,10185,11813
light,10107,11750
broken,10268,11590
tire,9140,11539
whenev,10090,11379
remind,9844,11335
learn,9339,11322
special,9842,11249
bed,9945,11209
either,10525,11187
coupl,9972,11176
fun,9927,11108
shit,9715,11095
serious,10114,11049
blue,9737,11034
share,9703,11026
music,9313,10999
ador,9961,10953
memori,9283,10948
emot,9532,10872
confus,9747,10842
lip,9235,10776
half,9414,10718
marri,9109,10702
game,8858,10618
exact,9776,10559
futur,9188,10464
fight,8683,10442
rest,9720,10417
secret,9318,10414
kid,8906,10403
hous,8610,10383
truli,9368,10338
hell,9531,10212
quit,9359,10183
everyday,9144,10170
answer,8624,10083
favorit,8314,10019
pass,8961,10017
ignor,8860,9986
apart,9104,9920
expect,8655,9872
wake,8825,9861
question,8590,9829
send,8709,9819
problem,8655,9806
suck,8719,9756
